,0
760,111.8785089
761,112.140266
762,111.8523576
763,111.5508927
764,111.6266497
765,111.5173456
766,111.7618615
767,111.5529946
768,111.3853972
769,111.6187172
770,111.2528896
771,111.5060139
772,111.2916244
773,111.0678233
774,111.1500801
775,110.8083094
776,111.0160966
777,111.1688825
778,111.0748787
779,111.3437714
780,111.3645386
781,111.3885443
782,111.0280801
783,111.2345995
784,111.5404881
785,111.6097526
786,112.0238862
787,112.0415524
788,111.9010272
789,111.88588
790,108.5173734
791,112.358528
792,112.2824472
793,112.1729931
794,111.9331223
795,112.2457513
796,112.5102867
797,112.702802
798,113.024795
799,113.1682141
800,112.4181922
801,112.315273
802,112.8096747
803,112.9385225
804,112.9886917
805,112.6848579
806,112.8769958
807,112.3360172
808,113.0084948
809,112.8278239
810,112.5992441
811,112.7226702
812,113.0501871
813,113.4954125
814,113.3551943
815,112.9172564
816,112.9837782
817,112.8744184
818,112.5903671
819,112.9667346
820,113.2586135
821,112.9969029
822,113.2230698
823,112.5341622
824,112.594356
825,112.7534579
826,112.8278587
827,113.1520672
828,113.6825395
829,113.5506843
830,113.9901987
831,113.8525549
832,114.0191254
833,114.0581616
834,114.1602895
835,114.2140141
836,114.1648206
837,114.196013
838,114.3623706
839,114.5996259
840,114.7470876
841,114.5006282
842,114.6920334
843,114.5624583
844,114.2824133
845,113.9320138
846,114.1573577
847,114.2974873
848,114.0086511
849,113.6847883
850,113.5634961
851,113.8467721
852,113.8028727
853,113.6651374
854,113.812386
855,113.3837367
856,113.8242761
857,113.9934574
858,113.7738732
859,114.1517149
860,114.1112647
861,114.2239706
862,114.3602091
863,114.1993635
864,114.1914744
865,113.8691494
866,114.1953082
867,114.2398464
868,114.207432
869,114.1632733
870,113.9804405
871,113.995897
872,113.6827435
873,113.7264351
874,113.5781817
875,113.7330207
876,113.8043457
877,113.7029682
878,113.7735217
879,113.7111202
880,113.6163659
881,113.861239
882,113.9299685
883,113.8699644
884,113.8220145
885,113.5840696
886,113.6006582
887,112.8458952
888,112.2456891
889,112.5107065
890,112.6387151
891,113.0903147
892,113.2399171
893,113.4803781
894,113.5682555
895,113.8456971
896,113.7998896
897,113.9480931
898,113.8864255
899,113.858711
900,113.7073521
901,113.6214587
902,113.734005
